Year,Month,State,usage
2022,2,ND,2109679.8
2022,2,NE,2670284
2022,2,NH,909144.56
2022,2,NJ,5471064.2
2022,2,NM,2012552.8
2022,2,NV,2584205.1
2022,2,NY,11551906
2022,2,OH,12156117
2022,2,OK,5195817.3
2022,2,OR,4375055.9
2022,2,PA,12373821
2022,2,RI,570222.63
2022,2,SC,6498535
2022,2,SD,1168520.1
2022,2,TN,9081211.7
2022,2,TX,32486552
2022,2,UT,2406378.4
2022,2,VA,11021884
2022,2,VT,470333.17
2022,2,WA,7908868.6
2022,2,WI,5583015
2022,2,WV,2799292.3
2022,2,WY,1382791.5
2022,1,AK,579642.48
2022,1,AL,7769298.4
2022,1,AR,4189367.6
2022,1,AZ,5862685.6
2022,1,CA,20356989
2022,1,CO,4756822.2
2022,1,CT,2610625.5
2022,1,DC,940338.91
2022,1,DE,1075149
2022,1,FL,18146580
2022,1,GA,12480191
2022,1,HI,727176.24
2022,1,IA,4949185.8
2022,1,ID,2277351.6
2022,1,IL,12371863
2022,1,IN,9004558.1
2022,1,KS,3444919.6
2022,1,KY,7069729.1
2022,1,LA,7994679
2022,1,MA,4437358.8
2022,1,MD,5994730.6
2022,1,ME,1152799.1
2022,1,MI,8844636.4
2022,1,MN,6096483.9
2022,1,MO,7474407.4
2022,1,MS,4086920.6
2022,1,MT,1490329.6
2022,1,NC,13578308
2022,1,ND,2296620.1
2022,1,NE,2864449.3
2022,1,NH,1023401
2022,1,NJ,6325768.1
2022,1,NM,2228202.2
2022,1,NV,2885721
2022,1,NY,12297357
2022,1,OH,13601888
2022,1,OK,5733027.2
2022,1,OR,4950958.4
2022,1,PA,13994033
2022,1,RI,636061.2
2022,1,SC,7333161.8
2022,1,SD,1263545.6
2022,1,TN,8883656.6
2022,1,TX,35159933
2022,1,UT,2680154.6
2022,1,VA,12080405
2022,1,VT,534212.38
2022,1,WA,9059449.7
2022,1,WI,6267188.4
2022,1,WV,3334679.5
2022,1,WY,1494835.5
2021,12,AK,584358.7
2021,12,AL,6628252.1
2021,12,AR,3733248.2
2021,12,AZ,5731192
2021,12,CA,20077356
2021,12,CO,4521595.7
2021,12,CT,2315925.3
2021,12,DC,823088.85
2021,12,DE,942619.26
2021,12,FL,18357687
2021,12,GA,10586975
2021,12,HI,756974.25
2021,12,IA,4501510.7
2021,12,ID,2144437
2021,12,IL,11039793
2021,12,IN,7987634.2
2021,12,KS,3101290
2021,12,KY,6062580.6
2021,12,LA,7228758.1
2021,12,MA,4013533
2021,12,MD,4956603
2021,12,ME,1057607
2021,12,MI,8272208.3
2021,12,MN,5782360.6
2021,12,MO,6121468.6
2021,12,MS,3662311.5
2021,12,MT,1358766.2
2021,12,NC,10921038
2021,12,ND,2213704.2
2021,12,NE,2766521.5
2021,12,NH,941208.83
2021,12,NJ,5735996.2
2021,12,NM,2106274.1
2021,12,NV,2868135.2
2021,12,NY,11610882
2021,12,OH,12075131
2021,12,OK,4933314.7
2021,12,OR,5247055.2
